Product Id,"Product External Id","Product Is Active","Product Division","Product Code","Product Name","Product Description","Primary Product Group Id","Primary Product Group","Product Type","Supplier Id","Supplier Code","Supplier Units Per Outer",Supplier,"Product Cost Price","Product Markup(%)","Product Price","Product TAX","Product Price Based On","Product Tracking Level","Product Warning Text","Product Minimum Inventory","Product Minimum Reorder","Product Minimum Order Type","Product Has Direct Cost","Product Available on Web","Product TAX Code","Product RRP","Product Notes","Product Is Purchased","Product Is Sold","Product Purchases Account","Product Sales Account","Product Inventory Account","Product Barcode","Product Is Controlled Drug","Product Desexes Patient","Product Triggers Patient Death","Product Patient Death Reason","Product Medication Text","Product Default Sell Units","Product Requires Prescription","Product Generates Prescription","Product RVM Direction of Use","Product RVM Length of Treatment Course","Product RVM Dose To Be Given","Product RVM Route of Administration","Product RVM Frequency of Treatments","Product RVM Length/Number of Treatments","Product RVM Withholding Period for Milk","Product RVM Withholding Period for Meat","Product RVM Maximum Dispense Quantity","Product RVM Maximum Dispense Frequency (days)","Auto Generate Product Type","Product Default Label Qty","Product Label Is Fixed Number","Product Identifier (NDC)","Product Schedule/Class","Product Lowest Dispensable Unit","Product Lowest Dispensable Quantity","Product Concentration","Product Concentration Unit","Product Concentration Volume","Product Concentration Diluted","Product Concentration Diluted Unit","Product Concentration Diluted Volume","Product Default Dosage Calculation Method","Product Default Route of Administration","Product Default Infusion Rate Per","Product Is CRI","Product Sheet Group","Product Service Fee Id","Product Service Fee Code","Product Service Fee External Reference"
1116,MAH_c5e9b6fd-6d31-4d8b-97f5-04c114d95488,YES,1,MAH_TRAM5,"Tramadol 50mg Tablet",,6,Pharmacy,Medication,,,1,,0.03,200,0.09,0.0067,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,TRAM5,YES,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,1827,SERVICEFEE_($7.0000)_(7.45),
1117,MAH_75f7fe36-ed9d-4b4b-8d8e-7186d3b7d872,YES,1,MAH_URG,"Exam/Consult - Urgent Care",,8,Service,Standard,,,1,,75,0,75,0.0000,Price,No,,0,0.0000,MINIMUM,NO,NO,E,0,,NO,YES,0,,0,URG,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1118,MAH_f78e8154-e5e2-402d-8d22-1f7b648f99d9,YES,1,MAH_RELSP,"Relief Spray 8 oz.",,6,Pharmacy,Medication,,,1,,11.54,100,23.0805,1.7195,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,RELSP,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1119,MAH_40e1ad2f-3063-48f6-ba87-bd6c1fd12542,YES,1,MAH_VIR5,"Viralys Gel 5g",,9,Retail,Medication,33,,1,"Henry Schein",17.91,100,35.82,2.6686,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,VIR5,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1120,MAH_91d8f7af-f18a-427a-b141-e7031305bfa4,YES,1,MAH_ASPIR,"Fine Needle Aspirate - In House",,5,Lab,Diagnostic,,,1,,20,10,22,0.0000,Price,No,,0,0.0000,MINIMUM,NO,NO,E,0,,NO,YES,0,,0,,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1121,MAH_d1f3faec-7fdb-4158-9fd0-8671f0885f8f,YES,1,MAH_3646,"Hill's C/D Multicare Urinary Stress w/Ch",,4,"Prescription Foods",Medication,,,1,,48.27,0.01,48.2736,3.5964,Price,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,3646,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1122,MAH_1f089b94-05c0-487e-9361-3ce33e3a6946,YES,1,MAH_EAR,"Ear Hair Removal",,8,Service,Standard,,,1,,22.5,0,22.5,0.0000,Price,No,,0,0.0000,MINIMUM,NO,NO,E,0,,NO,YES,0,,0,EAR,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1123,MAH_bb10e349-b497-482a-83b9-f17f1f39c3e2,YES,1,MAH_2697,"Hill's K9 K/D Lamb 13 oz.",,4,"Prescription Foods",Medication,,,1,,3.36,1.79,3.4155,0.2545,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,2697,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1124,MAH_90066630-afc4-4e80-8838-cb62d5f1bd7d,YES,1,MAH_PROPO,"Propoflo per ml",,7,Surgery,Medication,,,1,,0.75,500,4.5,0.0000,Markup,Product,,0,0.0000,MINIMUM,YES,NO,E,0,,YES,YES,0,,0,PROPO,YES,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1125,MAH_bdf5055f-bc12-422e-9f5e-ee796a923fe0,YES,1,MAH_9455,"Hill's Feline W/D Minced Chic",,4,"Prescription Foods",Medication,,,1,,1.55,45.16,2.2522,0.1678,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,9455,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1128,MAH_0ec72817-61be-457f-baef-78b5ce5c7dad,YES,1,MAH_PYO,"Pyometra Surgery",,7,Surgery,Procedure,,,1,,440,0,440,0.0000,Price,No,,0,0.0000,MINIMUM,NO,NO,E,0,,NO,YES,0,,0,PYO,NO,1,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1130,MAH_a71218fe-54de-4133-84b5-cc06344c4f0b,YES,1,MAH_KLASE,"K-Laser Therapy - Initial Session",,8,Service,Standard,,,1,,0,0,38.5,0.0000,Price,No,,0,0.0000,MINIMUM,NO,NO,E,0,,NO,YES,0,,0,KLASE,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1131,MAH_a41e5f3f-9745-431d-bd1e-cdcd015a5ab9,YES,1,MAH_582633,"RC Feline Renal Support S 3 lb.",,4,"Prescription Foods",Medication,,,1,,12.79,150.12,31.987,2.3830,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,582633,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1132,MAH_ecd04568-ddeb-4efb-82ec-24b7f9ba3487,YES,1,MAH_GABA400,"Gabapentin 400 mg capsule",,6,Pharmacy,Medication,,,1,,0.08,200,0.24,0.0179,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,GABA400,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,1827,SERVICEFEE_($7.0000)_(7.45),
1136,MAH_5ebe70c8-5660-4b64-beff-fb32f9a6fb6c,YES,1,MAH_NASO,"Nasogatric Tube Placement",,8,Service,Procedure,,,1,,55,0,55,0.0000,Price,No,,0,0.0000,MINIMUM,NO,NO,E,0,,NO,YES,0,,0,NASO,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
