drug_schedule,description,trade_name_detected,is_billable,is_multi_dose,is_external,is_refrigerated,unit_of_issue,requires_cycle_count_witness,requires_issue_witness,requires_restock_witness,requires_return_witness,requires_waste_witness,Issue Unit Strength,order_quantity,order_unit,order_unit_price
0,5ml Blood Tubes 100ct,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$28.00
0,5ml Lavender Blood Collection Tube ,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,5ml Red Blood Collection Tube,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,60 drops/ml IV Administration set,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$5.31
0,60 x 90cm Buster Drape ,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$31.89
0,60cc LS Syringe,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$21.98
0,60mL Syringe,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$20.18
0,6mL Syringe,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$20.18
0,7.5mm Endo trachealTube,,1,1,1,0,UNIT,0,0,0,0,0,,1,UNIT,$1.41
0,8fr 30sm Foley Catheter,FC830,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,8fr x 30cm Foley Cath 3mL Balloon ,,1,0,0,0,EACH,0,0,0,0,0,,5,EACH,$11.92
0,8qt Sharps Container,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$0.00
6,Abbott Freestyle Libre Sensor 3 ,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$91.72
6,Acepromazine 10mg/ml Inj,,1,1,0,0,ML,0,0,0,0,0,10 mg,50,ML,$24.79
6,Acepromazine 25mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,25 mg,100,TAB,$46.93
2,Acetamin/Codeine 120/12mg Oral 5mL,Tylenol 3,1,1,0,0,ML,1,1,1,1,1,132mg,473,ML,$507.85
6,Acetaminophen 32 mg/mL Oral ,Tylenol,1,1,0,0,ML,0,0,0,0,0,32 mg,59,ML,$4.72
6,Acetaminophen 325 mg Tablet,Tylenol,1,1,0,0,TAB,0,0,0,0,0,325 mg,100,TAB,$0.00
6,Acetaminophen 500 mg Tablet,Tylenol,1,1,0,0,TAB,0,0,0,0,0,500 mg,100,TAB,$2.06
2,Acetamin/Codeine 300/30MG Tablet,Tylenol 3,1,1,0,0,TAB,1,1,1,1,1,330mg,100,TAB,$21.89
6,AcetaZOLAMIDE 250 mg Tablet,Diamox,1,1,0,0,TAB,0,0,0,0,0,250 mg,100,TAB,$28.70
6,Acetylcysteine 20% Inj,,1,1,0,0,ML,0,0,0,0,0,200mg,6,ML,$43.16
2,Actacode Codeine Linctus 25mg/mL Inj,,1,1,0,0,ML,1,1,1,1,1,25 mg,100,ML,$0.28
6,Activated Charcoal  50g/225ml,,1,1,0,0,ML,0,0,0,0,0,222mg,225,ML,$0.07
6,Activated Charcoal 24g/100mL,,1,1,0,0,ML,0,0,0,0,0,100 ml,100,ML,$0.00
6,Activated Charcoal w/Sorb 50g/250ml,,1,1,0,0,ML,0,0,0,0,0,240mg,250,ML,$0.08
6,Acular Eye Drops 0.5% 5ml,Veenak,1,0,0,0,EACH,0,0,0,0,0,0.50%,5,EACH,$10.24
6,Acyclovir 400 mg Tablet,Zovirax,1,1,0,0,TAB,0,0,0,0,0,400 mg,100,TAB,$8.19
0,Adaptil Calm Collar Small,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$15.92
0,Adaptil Collar Junior,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$15.14
0,Adaptil Diffuser + 48ml refill,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$16.50
6,Adequan 100mg/ml Inj,,1,1,0,1,ML,0,0,0,0,0,100mg,10,ML,$0.00
6,Adrenaline (1:1000) 1ml vial,,1,0,0,0,VIAL,0,0,0,0,0,,10,ML,$12.24
6,Advantage 250 L/dog (10-25kg) ,Advantage,1,0,0,0,DOSE,0,0,0,0,0,,4,VIAL,$6.46
6,Advita Probiotic Paste for Pets 15g,,1,0,0,0,SYR,0,0,0,0,0,15 g,1,SYR,$5.48
6,Advita Probiotic Powder for Cats 1g,,1,0,0,0,PACKET,0,0,0,0,0,1 g,30,PACKET,$14.91
6,Advita Probiotic Powder for Dogs 1g,,1,0,0,0,PACKET,0,0,0,0,0,1 g,30,PACKET,$14.91
6,Aerokat Aerosol Chamber,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$40.74
6,Aglepristone 30mg/ml Inj,Alizine,1,1,0,0,ML,0,0,0,0,0,30mg,10,ML,$46.51
6,Aktivait Cat Capsule,,1,0,0,0,CAP,0,0,0,0,0,,60,CAP,$24.00
6,Aktivait Med/Lge Breed Tablet,,1,0,0,0,CAP,0,0,0,0,0,,60,CAP,$24.00
6,Albumin Lyophilized 5gm,,1,0,0,0,BTTL,0,0,0,0,0,5 g,1,BTTL,$373.00
6,Albuterol 90 mcg Inhaler,,1,0,0,0,EACH,0,0,0,0,0,90 mcg,1,EACH,$88.70
6,Albuterol Sulfate 0.4 mg/mL Oral,,1,1,0,0,ML,0,0,0,0,0,0.4 mg,473,ML,$17.35
6,Alcaine 0.5% Eye Drops,,1,0,0,0,BTTL,0,0,0,0,0,0.50%,1,BTTL,$0.00
4,Alfaxalone 10mg/mL Inj,,1,1,0,0,ML,1,1,1,1,1,10 mg,10,ML,$38.90
6,Allerderm shampoo 250ml,,1,0,0,0,BTTL,0,0,0,0,0,,1,BTTL,$10.99
6,Allopurinol 100mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,100 mg,100,TAB,$0.00
6,Allopurinol 300mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,300 mg,100,TAB,$0.00
4,Alprazolam 0.25mg Tablet,,1,1,0,0,TAB,1,1,1,1,1,0.25 mg,100,TAB,$0.00
4,Alprazolam 0.5mg Tablet,,1,1,0,0,TAB,1,1,1,1,1,0.5 mg,100,TAB,$0.00
4,Alprazolam 1mg Tablet,,1,1,0,0,TAB,1,1,1,1,1,1 mg,100,TAB,$0.00
4,Alprazolam 2mg Tablet,,1,1,0,0,TAB,1,1,1,1,1,2 mg,100,TAB,$12.79
6,Aluminum Hydroxide 64 mg/mL Gel,,1,1,0,0,ML,0,0,0,0,0,64 mg,473,ML,$6.71
6,Amacin Ear & Eye Ointment 4g,,1,0,0,0,TUBE,0,0,0,0,0,4 g,1,TUBE,$10.49
6,Amantadine 10mg/mL Oral Soln,,1,1,0,0,ML,0,0,0,0,0,10 mg,473,ML,$18.15
6,Amantidine 100mg tablet,,1,1,0,0,TAB,0,0,0,0,0,100 mg,100,TAB,$0.00
6,Amikacin Injection 250mg/mL,,1,0,0,0,BTTL,0,0,0,0,0,250 mg,10,BTTL,$77.30
6,Aminocaproic Acid 250mg/mL Inj,,1,1,0,0,ML,0,0,0,0,0,250 mg,20,ML,$10.60
6,Aminocaproic Acid 500mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,500 mg,90,TAB,$1.65
6,Aminophylline 25mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,25 mg,20,TAB,$378.02
6,Aminophylline 25mg/ml Inj,,1,1,0,0,ML,0,0,0,0,0,25mg,1,ML,$11.65
6,Amiodarone 200mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,200 mg,60,TAB,$7.89
6,Amitriptyline 100mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,100 mg,100,TAB,$6.77
6,Amitriptyline 10mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,10 mg,100,TAB,$1.97
6,Amitriptyline 25mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,25 mg,100,TAB,$2.61
6,Amitriptyline 50mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,50 mg,100,TAB,$4.58
6,Amlodipine 1.25mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,1.25 mg,90,TAB,$0.00
6,Amlodipine 2.5mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,2.5 mg,90,TAB,$1.79
6,Amlodipine 5mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,5 mg,90,TAB,$0.94
6,Amoxi Drops 50mg/ml,,1,0,0,0,BTTL,0,0,0,0,0,50mg,1,BTTL,$13.85
6,Amoxi/Clav Potass 62.5mg/mL Oral,Clavamox Drops,1,0,0,0,BTTL,0,0,0,0,0,62.5 mg,1,BTTL,$12.24
6,Amoxicillin/Clavulanate 125mg Tab,Clavamox,1,1,0,0,TAB,0,0,0,0,0,125 mg,210,TAB,$0.00
6,Amoxicillin/Clavulanate 250mg Tab,Clavamox,1,1,0,0,TAB,0,0,0,0,0,250 mg,210,TAB,$246.13
6,Amoxicillin/Clavulanate 375mg Tab,Clavamox,1,1,0,0,TAB,0,0,0,0,0,375 mg,210,TAB,$0.00
6,Amoxicillin/Clavulanate 62.5mg Tab,Clavamox,1,1,0,0,TAB,0,0,0,0,0,62.5 mg,210,TAB,$67.77
6,Amoxicillin 100mg Tablet,Amoxil,1,1,0,0,TAB,0,0,0,0,0,100 mg,500,TAB,$0.38
6,Amoxicillin 125 mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,125 mg,100,TAB,$22.42
6,Amoxicillin 150 mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,150 mg,500,TAB,$260.95
6,Amoxicillin 200 mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,200 mg,500,TAB,$276.35
