Vetcove ID,Date,Hospital,Name,Order #,PO Number,Supplier,Manufacturer,Manufacturer Number,Primary Category,Secondary Category,GL Code,Vetcove Item ID,Cost per Dose,Units,Unit Price,Unit Measurement,List Price,Quantity,Total Price,Item Status,Supplier's SKU
464635014,2025-08-07,Animal Care Center + Pet House Suites,"White-Top Tube: No Additive, 6mL, 50 Count",5109060729,VC0LRVCT,Idexx,IDEXX,98-0003501-01,Diagnostics Laboratory,"Blood Tubes, Needles and Racks",,774331,0.0,6.0,0.0,ml,,2,0.0,Completed,98-0003501-01
465595095,2025-08-11,Animal Care Center + Pet House Suites,ProCyte Dx Stain Pack: Each,5109371905,VC0LT8LP,Idexx,IDEXX,98-71001-00,Diagnostics Laboratory,Hematology and Coagulation Tests,,175778,162.5,1.0,162.5,kit,172.45,1,162.5,Completed,98-71001-00
465595091,2025-08-11,Animal Care Center + Pet House Suites,SNAP 4Dx Plus Test: 30 Tests,5109371905,VC0LT8LP,Idexx,IDEXX,99-0011516,Diagnostics Laboratory,Analyzers: Hematology,,517979,23.2,30.0,696.0,test,799.5,1,696.0,Completed,99-0011516
465210503,2025-08-11,Animal Care Center + Pet House Suites,Neopolydex Ophthalmic Suspension: 5Ml,6746690-0,VC0LT8JG,Penn Vet,Multiple Manufacturers,2420883060,Pharmaceuticals,Ophth Preps and Treatments,Inventory - Medicine (1331),40454,4.9,1.0,4.9,bottle,,1,4.9,Completed,VED1818
465210501,2025-08-11,Animal Care Center + Pet House Suites,"Maropitant Citrate Tablets: 160mg, 4 Count",6746690-0,VC0LT8JG,Penn Vet,Multiple Manufacturers,86136010435,Pharmaceuticals,Antiemetics,Inventory - Medicine (1331),596816,5.5725,4.0,22.29,tablet,,1,22.29,Completed,ZYV2030
465210497,2025-08-11,Animal Care Center + Pet House Suites,"Ketoconazole Tablets: 200Mg, 100 Count",6746690-0,VC0LT8JG,Penn Vet,Multiple Manufacturers,00378026101,Pharmaceuticals,Antifungals,Inventory - Medicine (1331),145129,0.3291,100.0,32.91,tablet,,1,32.91,Completed,PVS314380
465210491,2025-08-11,Animal Care Center + Pet House Suites,"Cephalexin Capsules: 500Mg, 500 Count",6746690-0,VC0LT8JG,Penn Vet,Multiple Manufacturers,67877021905,Pharmaceuticals,Antimicrobial Agents,Inventory - Medicine (1331),45571,0.068,500.0,33.99,capsule,,1,33.99,Completed,VED164471
465052586,2025-08-07,Animal Care Center + Pet House Suites,Kwik Stop Styptic Powder: 14g,63065099,VC0LRVEW,MWI,Miracle Corp,423594,Wound Care and White Goods,Hemostatics,Inventory - Medicine (1331),44225,0.3771,14.0,5.28,g,6.29,2,10.56,Completed,000142
413127334,2025-01-20,Animal Care Center + Pet House Suites,"Clindamycin Hcl Capsules: 300Mg, 100 Count",60046635,VC0IXG9D,MWI,Multiple Manufacturers,65862018601,Pharmaceuticals,Antimicrobial Agents,Inventory - Medicine (1331),55469,0.1444,100.0,14.44,capsule,16.95,1,14.44,Completed,115835
413127336,2025-01-20,Animal Care Center + Pet House Suites,Trizultra+Keto® Flush 4Oz,60046635,VC0IXG9D,MWI,Dechra,TUW,Pharmaceuticals,Dermatologic Preparations,Inventory - Medicine (1331),266184,2.8325,4.0,11.33,oz,12.99,1,11.33,Completed,030280
413127342,2025-01-20,Animal Care Center + Pet House Suites,"GEN II EZ Tie Endotracheal Tube Securing Device: Assortment, 3 Count",60046636,VC0IXG9D,MWI,Jorgensen Labs,J1202SM,Anesthesia,Endo tubes Laryngoscopes,,538963,3.3,3.0,9.9,each,9.9,1,9.9,Drop Shipment,124837
412794531,2025-01-20,Animal Care Center + Pet House Suites,Catalyst Chem 10 Clip: 12 Count,5092388566,VC0IXGAT,Idexx,IDEXX,98-11005-01,Diagnostics Laboratory,Reagents/Accessories-Chemistry,,175982,35.8,12.0,429.6,each,455.4,1,429.6,Completed,98-11005-01
417664075,2025-02-06,Animal Care Center + Pet House Suites,"TB Syringe with Needle(Soft Pack): Sterile, 1ml, Luer Slip, 25g x 5/8"", 100 Count",60322234,VC0J7ZOL,MWI,Multiple Manufacturers,303-2158,Administration and Transfusion,Syringes and Needles,General Supplies - Medical (5300),845938,0.0649,100.0,6.49,syringes,7.61,4,25.96,Completed,985055
417335534,2025-02-06,Animal Care Center + Pet House Suites,"Cuffed PVC Endotracheal Tube: Sterile, Clear, 4mm x 210mm, 1 Each",6205840608,VC0J7ZOS,Patterson,Dee Veterinary Products,4240,Anesthesia,Endo tubes Laryngoscopes,General Supplies - Medical (5300),133872,3.27,1.0,3.27,tube,,3,9.81,Completed,078318473
417335530,2025-02-06,Animal Care Center + Pet House Suites,"Ultra Thin Wall Needle: 22g x 1.5"", 100 Count",6205840608,VC0J7ZOS,Patterson,Terumo,2238,Administration and Transfusion,Syringes and Needles,,51918,10.23,1.0,10.23,box,,1,10.23,Completed,078404163
417335522,2025-02-06,Animal Care Center + Pet House Suites,"Zenrelia (Ilunocitinib) Tablets: Light Purple, 15 mg, 90 Doses x 1 Count",6205840608,VC0J7ZOS,Patterson,Elanco,CA5539090AM,Pharmaceuticals,Dermatologic Preparations,,756475,0.8629,90.0,77.66,tablet,,1,77.66,Completed,078952193
468408532,2025-08-21,Animal Care Center + Pet House Suites,"Maropitant Citrate Tablets: 160mg, 4 Count",GMG0090,VC0MZ937,Covetrus,Multiple Manufacturers,86136010435,Pharmaceuticals,Antiemetics,Inventory - Medicine (1331),596816,5.775,4.0,23.1,tablet,23.79,1,23.1,Completed,083539
468408527,2025-08-21,Animal Care Center + Pet House Suites,Prescription Diet Feline c/d Multicare Stress Urinary Care with Chicken: 4lbs,GMG0090,VC0MZ937,Covetrus,Hill's Pet Nutrition,603930,Foods,"Diets, Therapeutic",,286978,6.7575,4.0,27.03,lb,27.03,1,27.03,Completed,067998
468408526,2025-08-21,Animal Care Center + Pet House Suites,"Prescription Diet Feline c/d Multicare Stress Urinary Care Chicken and Vegetable Stew: 2.9oz, 24 Count",GMG0090,VC0MZ937,Covetrus,Hill's Pet Nutrition,3387,Foods,"Diets, Therapeutic",,38362,1.7533,24.0,42.08,each,42.08,1,42.08,Completed,050451
471450921,2025-09-04,Animal Care Center + Pet House Suites,Vanguard B Oral Vaccine: 25 x 1 Dose,63461586,VC0M6YZO,MWI,Zoetis,10014058,Vaccines,Vaccines and Other Biologicals,Inventory - Medicine (1331),174669,4.73,25.0,118.25,dose,246.25,1,118.25,Completed,062033
471450920,2025-09-04,Animal Care Center + Pet House Suites,"Gentamicin Sulfate with Betamethasone Valerate: USP, 120ml",63461586,VC0M6YZO,MWI,Multiple Manufacturers,VINB-0G53-4702,Pharmaceuticals,Dermatologic Preparations,Inventory - Medicine (1331),542908,0.0492,120.0,5.91,ml,6.93,1,5.91,Completed,502007
471450919,2025-09-04,Animal Care Center + Pet House Suites,Dorzolamide Hcl With Timolol Ophthalmic Solution: 10Ml,63461586,VC0M6YZO,MWI,Multiple Manufacturers,50383023310,Pharmaceuticals,Ophth Preps and Treatments,Inventory - Medicine (1331),8482,0.763,10.0,7.63,ml,9.59,1,7.63,Completed,125354
471450917,2025-09-04,Animal Care Center + Pet House Suites,"Cephalexin Capsules: 250Mg, 500 Count",63461586,VC0M6YZO,MWI,Multiple Manufacturers,67877022005,Pharmaceuticals,Antimicrobial Agents,Inventory - Medicine (1331),55437,0.0411,500.0,20.56,capsule,25.13,1,20.56,Completed,118486
471152748,2025-09-04,Animal Care Center + Pet House Suites,SNAP 4Dx Plus Test: 30 Tests,5111278524,VC0M6Y3Q,Idexx,IDEXX,99-0011516,Diagnostics Laboratory,Analyzers: Hematology,,517979,23.2,30.0,696.0,test,799.5,1,696.0,Completed,99-0011516
471152746,2025-09-04,Animal Care Center + Pet House Suites,Catalyst Total T4 Test: 12 Count,5111278524,VC0M6Y3Q,Idexx,IDEXX,99-0001000,Diagnostics Laboratory,Reagents/Accessories-Chemistry,,175878,0.0,12.0,0.0,test,330.0,1,0.0,Completed,99-0001000
471152745,2025-09-04,Animal Care Center + Pet House Suites,Catalyst SDMA and Total T4: 12 Count,5111278524,VC0M6Y3Q,Idexx,IDEXX,99-0017167,Diagnostics Laboratory,Analyzers: Chemistry,,535577,27.95,12.0,335.4,test,425.88,1,335.4,Completed,99-0017167
471152744,2025-09-04,Animal Care Center + Pet House Suites,Fecal Specimen Collection Container: 30mL,5111278524,VC0M6Y3Q,Idexx,IDEXX,98-12245-00,Diagnostics Laboratory,Fecal Tests,,175922,0.0,1.0,0.0,tube,,100,0.0,Completed,98-12245-00
438491592,2025-04-28,Animal Care Center + Pet House Suites,Zycosan® (pentosan polysulfate sodium injection),531773,,Dechra,Dechra,,Pharmaceuticals,Miscellaneous Pharmaceuticals,,701716,0.0,1.0,0.0,purchasing unit,275.0,1,0.0,Completed,3d50b481-8968-48e3-baea-0d44d31e6168
440576446,2025-05-12,Animal Care Center + Pet House Suites,"Cytopoint: 20mg (10.1-20lb), 1 Vial (Ordered in Multiples of 5)",1020278461,VC0KICMB,Zoetis,Zoetis,10022180,Pharmaceuticals,Dermatologic Preparations,,298905,40.47,1.0,40.47,vial,41.3,5,202.35,Completed,10022180
448987735,2025-06-12,Animal Care Center + Pet House Suites,Vanguard L4 Vaccine: 25 X 1 Dose,6206551270,VC0KY99N,Patterson,Zoetis,10000618,Vaccines,Vaccines and Other Biologicals,Inventory - Medicine (1331),166967,6.38,25.0,159.5,dose,,1,159.5,Completed,078925684
448987736,2025-06-12,Animal Care Center + Pet House Suites,Vanguard CIV H3N2/H3N8 Vaccine: 25 x 1 Dose,6206551270,VC0KY99N,Patterson,Zoetis,10016338,Vaccines,Vaccines and Other Biologicals,Inventory - Medicine (1331),234428,13.23,25.0,330.75,dose,,1,330.75,Completed,078931121
448987732,2025-06-12,Animal Care Center + Pet House Suites,"Monoject Needle with Plastic Hub: 22g x 3/4"", Epoxy Insert, 100 Count",6206551270,VC0KY99N,Patterson,Cardinal Health,8881250248,Administration and Transfusion,Syringes and Needles,,191922,0.0926,100.0,9.26,each,,4,0.0,Backordered,078060816
448987730,2025-06-12,Animal Care Center + Pet House Suites,ProHeart 12: 10ml,6206551270,VC0KY99N,Patterson,Zoetis,10020256,Parasiticides,Heartworm Parasiticides,Inventory - Medicine (1331),303927,456.11,1.0,456.11,bottle,,1,456.11,Completed,078937039
448987728,2025-06-12,Animal Care Center + Pet House Suites,Dolorex (butorphanol tartrate) : 50mL Vial  (10mg/ml),6206551270,VC0KY99N,Patterson,Merck,17070,Pharmaceuticals,Analgesics,,53974,3.4706,50.0,173.53,ml,,1,173.53,Completed,078056551
448987727,2025-06-12,Animal Care Center + Pet House Suites,"Onsior Tablets for Cats: 6 mg, 3 Doses x 10 Count",6206551270,VC0KY99N,Patterson,Elanco,CA4875030AM,Pharmaceuticals,Antiinflammatories,Inventory - Medicine (1331),193974,3.1333,30.0,94.0,tablet,,1,94.0,Completed,078906566
448987722,2025-06-12,Animal Care Center + Pet House Suites,Azithromycin Oral Suspension:  30Ml (40Mg/Ml),6206551270,VC0KY99N,Patterson,Multiple Manufacturers,00093202631,Pharmaceuticals,Antimicrobial Agents,,55413,4.36,1.0,4.36,bottle,,1,4.36,Completed,078939969
454526030,2025-07-01,Animal Care Center + Pet House Suites,Antisedan: 10ml (5mg/ml),0075465867,VC0L6JMZ,Patterson,Zoetis,10000449,Anesthesia,Anesthesia Systems,Inventory - Medicine (1331),49007,-20.712,10.0,-207.12,ml,,1,-207.12,Return,078677097
454526031,2025-07-01,Animal Care Center + Pet House Suites,"Metronidazole Tablets: 500Mg, 100 Count",0075465867,VC0L6JMZ,Patterson,Multiple Manufacturers,29300022701,Pharmaceuticals,Antimicrobial Agents,,55527,-5.87,1.0,-5.87,bottle,,1,-5.87,Return,078949117
435921844,2025-04-24,Animal Care Center + Pet House Suites,Catalyst Chem 10 Clip: 12 Count,5100173032,VC0K9EVA,Idexx,IDEXX,98-11005-01,Diagnostics Laboratory,Reagents/Accessories-Chemistry,,175982,35.8,12.0,429.6,each,455.4,1,429.6,Completed,98-11005-01
435921843,2025-04-24,Animal Care Center + Pet House Suites,"Gold-Top, SST w/Gel: 4mL, 50 Count",5100173032,VC0K9EVA,Idexx,IDEXX,98-0003508-01,Diagnostics Laboratory,"Blood Tubes, Needles and Racks",,774334,0.0,4.0,0.0,ml,,2,0.0,Completed,98-0003508-01
436329519,2025-04-24,Animal Care Center + Pet House Suites,"Nutramax Proviable-Forte Kit For Medium & Large Dogs, 30Ml, 5 Count",6630556-0,VC0K9F2Y,Penn Vet,Nutramax,PROVFT5KP30,Nutraceuticals,Probiotics,,189253,18.9,5.0,94.5,each,,1,94.5,Completed,NMX1550
436329517,2025-04-24,Animal Care Center + Pet House Suites,"Carprofen Chewable Tablets: 100mg, 180 Count",6630556-0,VC0K9F2Y,Penn Vet,Multiple Manufacturers,6452170684,Pharmaceuticals,Antiinflammatories,,225281,0.3752,180.0,67.53,tablet,,1,67.53,Completed,ZYV3050
486951624,2025-11-06,Animal Care Center + Pet House Suites,"Prescription Diet Feline z/d Skin/Food Sensitivities Original Flavor: 5.5oz, 24 Count",GRF6144,VC0N5PWR,Covetrus,Hill's Pet Nutrition,5238,Foods,"Diets, Therapeutic",,83790,2.8404,24.0,68.17,each,68.17,2,136.34,Completed,040584
486951630,2025-11-06,Animal Care Center + Pet House Suites,Atipamezole Injection: 10mL (5mg/mL),GRF6144,VC0N5PWR,Covetrus,Covetrus,11695-7020-01,Pharmaceuticals,Anesthetics,Inventory - Medicine (1331),616759,10.244,10.0,102.44,ml,120.44,1,102.44,Completed,082124
486951628,2025-11-06,Animal Care Center + Pet House Suites,"Carprofen Chewable Tablets: 75mg, 180 Count",GRF6144,VC0N5PWR,Covetrus,Multiple Manufacturers,21306855,Pharmaceuticals,Antiinflammatories,Inventory - Medicine (1331),509260,0.4414,180.0,79.46,tablet,79.46,1,79.46,Completed,075063
465040706,2025-08-07,Animal Care Center + Pet House Suites,"Nutramax Denamarin for Dogs, 225mg, 30ct Chewable Tablets",6206995009,VC0LRVE8,Patterson,Nutramax,DENAMCHW30,Nutraceuticals,S-Adenosyl,,188237,0.9563,30.0,28.69,tablet,,1,28.69,Completed,078678253
465040709,2025-08-07,Animal Care Center + Pet House Suites,"Methimazole Tablets: 5Mg, 100 Count",6206995009,VC0LRVE8,Patterson,Multiple Manufacturers,49884064001,Pharmaceuticals,Hormones and Analogs,Inventory - Medicine (1331),57475,0.0508,100.0,5.08,tablet,,1,5.08,Completed,078953543
466846631,2025-08-18,Animal Care Center + Pet House Suites,MiconaHex+Triz® Mousse: 7.1oz,6753408-0,VC0LWQEU,Penn Vet,Dechra,MHTMW,Pharmaceuticals,Antimicrobial Agents,,221927,2.7183,7.1,19.3,oz,,2,38.6,Completed,DP0096
432774564,2025-04-10,Animal Care Center + Pet House Suites,"Ketoconazole Tablets: 200Mg, 100 Count",61282758,VC0K2IV9,MWI,Multiple Manufacturers,00378026101,Pharmaceuticals,Antifungals,Inventory - Medicine (1331),145129,0.3216,100.0,32.16,tablet,34.1,1,32.16,Completed,091336
432774561,2025-04-10,Animal Care Center + Pet House Suites,"Animax Ointment (Nystatin, Neomycin Sulfate, Thiostrepton, Triamcinolone Acetonide Ointment): 15 Ml",61282758,VC0K2IV9,MWI,Dechra,12215,Pharmaceuticals,Dermatologic Preparations,Inventory - Medicine (1331),143513,0.7707,15.0,11.56,ml,14.99,2,23.12,Completed,015885
432774567,2025-04-10,Animal Care Center + Pet House Suites,Ofloxacin 0.3% Ophthalmic Solution: 5Ml,61282758,VC0K2IV9,MWI,Multiple Manufacturers,60505056000,Pharmaceuticals,Antimicrobial Agents,Inventory - Medicine (1331),12029,0.822,5.0,4.11,ml,4.83,1,4.11,Completed,121936
432774566,2025-04-10,Animal Care Center + Pet House Suites,Neopolydex Ophthalmic Suspension: 5Ml,61282758,VC0K2IV9,MWI,Multiple Manufacturers,2420883060,Pharmaceuticals,Ophth Preps and Treatments,Inventory - Medicine (1331),40454,5.7,1.0,5.7,bottle,6.69,1,5.7,Completed,044529
432774565,2025-04-10,Animal Care Center + Pet House Suites,Neopolydex Ophthalmic Ointment: 3.5g,61282758,VC0K2IV9,MWI,Multiple Manufacturers,2420879535,Pharmaceuticals,Ophth Preps and Treatments,Inventory - Medicine (1331),38192,1.3171,3.5,4.61,g,5.08,1,4.61,Completed,044523
432774563,2025-04-10,Animal Care Center + Pet House Suites,Injection Plug Male Adapter: Luer Lock,61282758,VC0K2IV9,MWI,PractiVet,3208601,Administration and Transfusion,IV Catheters and Plugs,,46671,1.27,1.0,1.27,each,1.49,50,63.5,Completed,039899
432774560,2025-04-10,Animal Care Center + Pet House Suites,"Self-Seal Sterilization Pouch: 7.5"" x 13"", 200 Count",61284251,20250410103758,MWI,Multiple Manufacturers,510181,Autoclaves and Inst Cleaners,Sterilization Pouches and Tubes,,6862,0.1743,200.0,34.86,pouches,45.65,1,34.86,Completed,008584
438304418,2025-05-05,Animal Care Center + Pet House Suites,"Low Dead Space Syringe with Needle(Soft Pack): Sterile, 3ml, Luer Lock, 22g x 3/4"", 100 Count",6641045-0,VC0KEA2H,Penn Vet,Multiple Manufacturers,26115,Administration and Transfusion,Syringes and Needles,,845962,0.1037,100.0,10.37,Syringes,,3,31.11,Completed,XL26115
