NDC,Proprietary Name,Non Proprietary Name,Ingredient List,Labeler Name,Product Type,Marketing Category,Application Number or Monograph ID,Link,Inactivation Date,Reactivation Date
59282-102-16,Valiant Pre/Post,LACTIC ACID AND DODECYLBENZENE SULFONIC ACID,"LACTIC ACID, UNSPECIFIED FORM; DODECYLBENZENESULFONIC ACID",ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/eda36780-f48a-4a24-b8a8-8f9627be7667/eda36780-f48a-4a24-b8a8-8f9627be7667.xml,,
59282-102-17,Valiant Pre/Post,LACTIC ACID AND DODECYLBENZENE SULFONIC ACID,"LACTIC ACID, UNSPECIFIED FORM; DODECYLBENZENESULFONIC ACID",ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/eda36780-f48a-4a24-b8a8-8f9627be7667/eda36780-f48a-4a24-b8a8-8f9627be7667.xml,,
59282-102-44,Valiant Pre/Post,LACTIC ACID AND DODECYLBENZENE SULFONIC ACID,"LACTIC ACID, UNSPECIFIED FORM; DODECYLBENZENESULFONIC ACID",ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/eda36780-f48a-4a24-b8a8-8f9627be7667/eda36780-f48a-4a24-b8a8-8f9627be7667.xml,,
59282-112-21,Valiant Shield,LACTIC ACID AND HEPTANOIC ACID,LACTIC ACID; HEPTANOIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/2f5ce46d-c3c5-454b-b456-dc058acc799c/2f5ce46d-c3c5-454b-b456-dc058acc799c.xml,,
59282-112-17,Valiant Shield,LACTIC ACID AND HEPTANOIC ACID,LACTIC ACID; HEPTANOIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/2f5ce46d-c3c5-454b-b456-dc058acc799c/2f5ce46d-c3c5-454b-b456-dc058acc799c.xml,,
59282-112-16,Valiant Shield,LACTIC ACID AND HEPTANOIC ACID,LACTIC ACID; HEPTANOIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/2f5ce46d-c3c5-454b-b456-dc058acc799c/2f5ce46d-c3c5-454b-b456-dc058acc799c.xml,,
43258-301-50,Vanner and Prest Hoof Oil,WHITE PINE OIL,WHITE PINE OIL,Carr & Day & Martin Unlimited Company,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/053a5b3d-1fe4-4aef-80b8-c71753b8e9ec/053a5b3d-1fe4-4aef-80b8-c71753b8e9ec.xml,,
43258-301-51,Vanner and Prest Hoof Oil,WHITE PINE OIL,WHITE PINE OIL,Carr & Day & Martin Unlimited Company,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/053a5b3d-1fe4-4aef-80b8-c71753b8e9ec/053a5b3d-1fe4-4aef-80b8-c71753b8e9ec.xml,,
43258-301-11,Vanner and Prest Hoof Oil,WHITE PINE OIL,WHITE PINE OIL,Carr & Day & Martin Unlimited Company,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/053a5b3d-1fe4-4aef-80b8-c71753b8e9ec/053a5b3d-1fe4-4aef-80b8-c71753b8e9ec.xml,,
55756-012-02,Vanquish Pre-Post Activator,"LACTIC ACID, PHOSPHORIC ACID","LACTIC ACID, UNSPECIFIED FORM; PHOSPHORIC ACID",DeLaval Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/79fc35a8-ddd9-422e-99a7-77162d09462a/79fc35a8-ddd9-422e-99a7-77162d09462a.xml,,
55756-012-27,Vanquish Pre-Post Activator,"LACTIC ACID, PHOSPHORIC ACID","LACTIC ACID, UNSPECIFIED FORM; PHOSPHORIC ACID",DeLaval Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/79fc35a8-ddd9-422e-99a7-77162d09462a/79fc35a8-ddd9-422e-99a7-77162d09462a.xml,,
55756-012-01,Vanquish Pre-Post Activator,"LACTIC ACID, PHOSPHORIC ACID","LACTIC ACID, UNSPECIFIED FORM; PHOSPHORIC ACID",DeLaval Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/79fc35a8-ddd9-422e-99a7-77162d09462a/79fc35a8-ddd9-422e-99a7-77162d09462a.xml,,
55756-013-02,Vanquish Pre-Post Base,SODIUM CHLORITE,SODIUM CHLORITE,DeLaval Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/0907cd0a-9be8-4d61-81a3-c289970ee22b/0907cd0a-9be8-4d61-81a3-c289970ee22b.xml,,
55756-013-01,Vanquish Pre-Post Base,SODIUM CHLORITE,SODIUM CHLORITE,DeLaval Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/0907cd0a-9be8-4d61-81a3-c289970ee22b/0907cd0a-9be8-4d61-81a3-c289970ee22b.xml,,
55756-013-27,Vanquish Pre-Post Base,SODIUM CHLORITE,SODIUM CHLORITE,DeLaval Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/0907cd0a-9be8-4d61-81a3-c289970ee22b/0907cd0a-9be8-4d61-81a3-c289970ee22b.xml,,
58198-3697-1,Varenzin-CA1,MOLIDUSTAT ORAL,MOLIDUSTAT SODIUM,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,Conditional NADA,NADA141571,https://www.accessdata.fda.gov/spl/data/c2ad91e5-beba-4dbf-aad0-ff5538971415/c2ad91e5-beba-4dbf-aad0-ff5538971415.xml,,
50989-228-29,VEDADINE SURGICAL SCRUB,POVIDONE IODINE SCRUB,POVIDONE-IODINE,"Vedco, Inc.",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/1d964923-05c9-49c8-ac89-b69cb1c82b18/1d964923-05c9-49c8-ac89-b69cb1c82b18.xml,,
50989-229-29,VEDADINE TOPICAL,POVIDONE IODINE,POVIDONE-IODINE,"Vedco, Inc.",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/137e7da6-6605-472e-a9cc-0ca29a601a80/137e7da6-6605-472e-a9cc-0ca29a601a80.xml,,
50989-403-16,Vedco Veterinary 0.9% Sodium Chloride,"SODIUM CHLORIDE INJECTION, SOLUTION",SODIUM CHLORIDE,"Vedco, Inc.",PRESCRIPTION ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/b0ac87f7-4f28-4190-a6bb-506ed89d4620/b0ac87f7-4f28-4190-a6bb-506ed89d4620.xml,,
50989-403-17,Vedco Veterinary 0.9% Sodium Chloride,"SODIUM CHLORIDE INJECTION, SOLUTION",SODIUM CHLORIDE,"Vedco, Inc.",PRESCRIPTION ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/b0ac87f7-4f28-4190-a6bb-506ed89d4620/b0ac87f7-4f28-4190-a6bb-506ed89d4620.xml,,
0010-3017-03,Ventipulmin,CLENBUTEROL,CLENBUTEROL HYDROCHLORIDE,Boehringer Ingelheim Animal Health USA Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA140973,https://www.accessdata.fda.gov/spl/data/0ddf4a4c-f9f4-4edf-8cdf-05cf287b2d7e/0ddf4a4c-f9f4-4edf-8cdf-05cf287b2d7e.xml,,
0010-3017-02,Ventipulmin,CLENBUTEROL,CLENBUTEROL HYDROCHLORIDE,Boehringer Ingelheim Animal Health USA Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA140973,https://www.accessdata.fda.gov/spl/data/0ddf4a4c-f9f4-4edf-8cdf-05cf287b2d7e/0ddf4a4c-f9f4-4edf-8cdf-05cf287b2d7e.xml,,
58198-0039-2,Veraflox,PRADOFLOXACIN,PRADOFLOXACIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141344,https://www.accessdata.fda.gov/spl/data/44cbf604-fcfb-4e5f-ab9c-11f0f8ae33ce/44cbf604-fcfb-4e5f-ab9c-11f0f8ae33ce.xml,,
58198-0039-4,Veraflox,PRADOFLOXACIN,PRADOFLOXACIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141344,https://www.accessdata.fda.gov/spl/data/44cbf604-fcfb-4e5f-ab9c-11f0f8ae33ce/44cbf604-fcfb-4e5f-ab9c-11f0f8ae33ce.xml,,
58198-0039-1,Veraflox,PRADOFLOXACIN,PRADOFLOXACIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141344,https://www.accessdata.fda.gov/spl/data/44cbf604-fcfb-4e5f-ab9c-11f0f8ae33ce/44cbf604-fcfb-4e5f-ab9c-11f0f8ae33ce.xml,,
58198-0039-3,Veraflox,PRADOFLOXACIN,PRADOFLOXACIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141344,https://www.accessdata.fda.gov/spl/data/44cbf604-fcfb-4e5f-ab9c-11f0f8ae33ce/44cbf604-fcfb-4e5f-ab9c-11f0f8ae33ce.xml,,
86201-0002-1,Vet Basics Ear Cleansing Solution,"SODIUM BENZOATE, POTASSIUM SORBATE",POTASSIUM SORBATE; SODIUM BENZOATE,Revival Animal Health,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/f6e99597-8940-4cfe-9611-edc4d7c39fed/f6e99597-8940-4cfe-9611-edc4d7c39fed.xml,,
