NDC,Proprietary Name,Non Proprietary Name,Ingredient List,Labeler Name,Product Type,Marketing Category,Application Number or Monograph ID,Link,Inactivation Date,Reactivation Date
59282-104-16,ABS Express 3 Concentrate,STABILIZED SODIUM SALT OF CHLOROUS ACID,SODIUM CHLORITE,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/eba30480-9a59-45e7-8dec-dc1875708cc3/eba30480-9a59-45e7-8dec-dc1875708cc3.xml,,
59282-104-35,ABS Express 3 Concentrate,STABILIZED SODIUM SALT OF CHLOROUS ACID,SODIUM CHLORITE,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/eba30480-9a59-45e7-8dec-dc1875708cc3/eba30480-9a59-45e7-8dec-dc1875708cc3.xml,,
59282-105-42,ABS Valiant Catalyst (US),STABILIZED SODIUM SALT OF CHLOROUS ACID,SODIUM CHLORITE,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/88443b8c-f997-4f6c-9ec5-c733cc37982b/88443b8c-f997-4f6c-9ec5-c733cc37982b.xml,,
59282-105-11,ABS Valiant Catalyst (US),STABILIZED SODIUM SALT OF CHLOROUS ACID,SODIUM CHLORITE,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/88443b8c-f997-4f6c-9ec5-c733cc37982b/88443b8c-f997-4f6c-9ec5-c733cc37982b.xml,,
11444-447-02,Absorbine Fungasol,CHLOROXYLENOL AND BENZALKONIUM CHLORIDE,BENZALKONIUM CHLORIDE; CHLOROXYLENOL,"W. F. Young, Inc.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/9969c6e7-c7cb-438d-89b8-b85c33ebf1c8/9969c6e7-c7cb-438d-89b8-b85c33ebf1c8.xml,,
11444-426-03,Absorbine Fungasol,CHLOROXYLENOL AND BENZALKONIUM CHLORIDE,CHLOROXYLENOL; BENZALKONIUM CHLORIDE,"W. F. Young, Inc.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/e41661d2-eb76-4b34-8975-15124d175719/e41661d2-eb76-4b34-8975-15124d175719.xml,,
11444-428-04,Absorbine Fungasol,CHLOROXYLENOL,CHLOROXYLENOL,"W. F. Young, Inc.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/d5b2ace9-b4b3-4628-8fc7-583649f274e0/d5b2ace9-b4b3-4628-8fc7-583649f274e0.xml,,
11444-063-05,Absorbine Hooflex Therapeutic Conditioner,CHLOROXYLENOL,CHLOROXYLENOL,"W. F. Young, Inc.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/328c282a-abb8-41ef-80cf-2b1c755f23fb/328c282a-abb8-41ef-80cf-2b1c755f23fb.xml,,
11444-056-01,Absorbine Hooflex Therapeutic Conditioner,CHLOROXYLENOL,CHLOROXYLENOL,"W. F. Young, Inc.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/d369bd1e-df74-49a7-8364-d948f387fd70/d369bd1e-df74-49a7-8364-d948f387fd70.xml,,
11444-029-04,Absorbine Hooflex Thrush Remedy,CHLOROXYLENOL,CHLOROXYLENOL,"W. F. Young, Inc.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/ef94137b-0021-4fed-a572-741c03c52f3e/ef94137b-0021-4fed-a572-741c03c52f3e.xml,,
11444-026-05,Absorbine Veterinary,"MENTHOL, CHLOROXYLENOL, AND IODINE",CHLOROXYLENOL; MENTHOL; IODINE,"W. F. Young, Inc.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/3101328d-21e0-4064-ba50-8ea9b6e66485/3101328d-21e0-4064-ba50-8ea9b6e66485.xml,,
11444-075-01,Absorbine Veterinary,MENTHOL,MENTHOL,"W. F. Young, Inc.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/74e9883e-caae-45d9-803f-a15ac1c99355/74e9883e-caae-45d9-803f-a15ac1c99355.xml,,
11444-026-04,Absorbine Veterinary,"MENTHOL, CHLOROXYLENOL, AND IODINE",CHLOROXYLENOL; MENTHOL; IODINE,"W. F. Young, Inc.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/3101328d-21e0-4064-ba50-8ea9b6e66485/3101328d-21e0-4064-ba50-8ea9b6e66485.xml,,
11444-026-03,Absorbine Veterinary,"MENTHOL, CHLOROXYLENOL, AND IODINE",CHLOROXYLENOL; MENTHOL; IODINE,"W. F. Young, Inc.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/3101328d-21e0-4064-ba50-8ea9b6e66485/3101328d-21e0-4064-ba50-8ea9b6e66485.xml,,
11444-026-07,Absorbine Veterinary,"MENTHOL, CHLOROXYLENOL, AND IODINE",CHLOROXYLENOL; MENTHOL; IODINE,"W. F. Young, Inc.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/3101328d-21e0-4064-ba50-8ea9b6e66485/3101328d-21e0-4064-ba50-8ea9b6e66485.xml,,
11444-075-02,Absorbine Veterinary,MENTHOL,MENTHOL,"W. F. Young, Inc.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/74e9883e-caae-45d9-803f-a15ac1c99355/74e9883e-caae-45d9-803f-a15ac1c99355.xml,,
86147-025-01,ABS-S,"ARNICA MONTANA FLOWER, ECHINACEA, MERCURIC CHLORIDE, NITRIC ACID, PHYTOLACCA AMERICANA ROOT, SULFUR, SILICON DIOXIDE",NITRIC ACID; ARNICA MONTANA FLOWER; ECHINACEA; MERCURIC CHLORIDE; SULFUR; PHYTOLACCA AMERICANA ROOT; SILICON DIOXIDE,Groupe Cyrenne Inc.,OTC ANIMAL DRUG,unapproved homeopathic,,https://www.accessdata.fda.gov/spl/data/20301150-613f-4278-98d2-5ae83982fabe/20301150-613f-4278-98d2-5ae83982fabe.xml,,
46066-139-34,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,"Aspen Veterinary Resources®, LTD.",PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200757,https://www.accessdata.fda.gov/spl/data/46674e41-dc0e-40b7-a537-d163792759ec/46674e41-dc0e-40b7-a537-d163792759ec.xml,,
86117-050-12,Acepromazine maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,ZYVET ANIMAL HEALTH INC.,PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200757,https://www.accessdata.fda.gov/spl/data/a66ffa0f-4f2f-4827-b75e-324e142565f1/a66ffa0f-4f2f-4827-b75e-324e142565f1.xml,,
11695-7034-2,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,Covetrus North America,PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200757,https://www.accessdata.fda.gov/spl/data/b287e514-326e-48c2-93de-cf6398127db3/b287e514-326e-48c2-93de-cf6398127db3.xml,,
86117-050-07,Acepromazine maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,ZYVET ANIMAL HEALTH INC.,PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200757,https://www.accessdata.fda.gov/spl/data/a66ffa0f-4f2f-4827-b75e-324e142565f1/a66ffa0f-4f2f-4827-b75e-324e142565f1.xml,,
11695-0093-1,Acepromazine maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,Covetrus North America,PRESCRIPTION ANIMAL DRUG,NADA,NADA117532,https://www.accessdata.fda.gov/spl/data/2775eac7-2a84-49e2-878b-d89084e33480/2775eac7-2a84-49e2-878b-d89084e33480.xml,,
86117-049-07,Acepromazine maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,ZYVET ANIMAL HEALTH INC.,PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200757,https://www.accessdata.fda.gov/spl/data/a66ffa0f-4f2f-4827-b75e-324e142565f1/a66ffa0f-4f2f-4827-b75e-324e142565f1.xml,,
11695-0095-5,Acepromazine maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,Covetrus North America,PRESCRIPTION ANIMAL DRUG,NADA,NADA015030,https://www.accessdata.fda.gov/spl/data/b43dde39-2ab8-440e-b78b-28994ea1f8da/b43dde39-2ab8-440e-b78b-28994ea1f8da.xml,,
13985-587-50,Acepromazine maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,MWI/VetOne,PRESCRIPTION ANIMAL DRUG,NADA,NADA015030,https://www.accessdata.fda.gov/spl/data/a80f3a6e-eec0-4f2e-8b94-646dbe174d3f/a80f3a6e-eec0-4f2e-8b94-646dbe174d3f.xml,,
86117-049-12,Acepromazine maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,ZYVET ANIMAL HEALTH INC.,PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200757,https://www.accessdata.fda.gov/spl/data/a66ffa0f-4f2f-4827-b75e-324e142565f1/a66ffa0f-4f2f-4827-b75e-324e142565f1.xml,,
11695-0094-1,Acepromazine maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,Covetrus North America,PRESCRIPTION ANIMAL DRUG,NADA,NADA117532,https://www.accessdata.fda.gov/spl/data/2368f59a-bae2-4afa-a2a4-237357ce1820/2368f59a-bae2-4afa-a2a4-237357ce1820.xml,,
11695-7033-1,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,Covetrus North America,PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200757,https://www.accessdata.fda.gov/spl/data/b287e514-326e-48c2-93de-cf6398127db3/b287e514-326e-48c2-93de-cf6398127db3.xml,,
46066-139-32,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,"Aspen Veterinary Resources®, LTD.",PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200757,https://www.accessdata.fda.gov/spl/data/46674e41-dc0e-40b7-a537-d163792759ec/46674e41-dc0e-40b7-a537-d163792759ec.xml,,
13985-583-50,Acepromazine Maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,MWI/VetOne,PRESCRIPTION ANIMAL DRUG,NADA,NADA117532,https://www.accessdata.fda.gov/spl/data/78d8ebaa-795a-4cbb-b828-71bbb6ec8e14/78d8ebaa-795a-4cbb-b828-71bbb6ec8e14.xml,,
13985-583-10,Acepromazine Maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,MWI/VetOne,PRESCRIPTION ANIMAL DRUG,NADA,NADA117532,https://www.accessdata.fda.gov/spl/data/78d8ebaa-795a-4cbb-b828-71bbb6ec8e14/78d8ebaa-795a-4cbb-b828-71bbb6ec8e14.xml,,
46066-138-34,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,"Aspen Veterinary Resources®, LTD.",PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200757,https://www.accessdata.fda.gov/spl/data/46674e41-dc0e-40b7-a537-d163792759ec/46674e41-dc0e-40b7-a537-d163792759ec.xml,,
46066-138-32,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,"Aspen Veterinary Resources®, LTD.",PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200757,https://www.accessdata.fda.gov/spl/data/46674e41-dc0e-40b7-a537-d163792759ec/46674e41-dc0e-40b7-a537-d163792759ec.xml,,
11695-0093-5,Acepromazine maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,Covetrus North America,PRESCRIPTION ANIMAL DRUG,NADA,NADA117532,https://www.accessdata.fda.gov/spl/data/2775eac7-2a84-49e2-878b-d89084e33480/2775eac7-2a84-49e2-878b-d89084e33480.xml,,
11695-7034-1,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,Covetrus North America,PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200757,https://www.accessdata.fda.gov/spl/data/b287e514-326e-48c2-93de-cf6398127db3/b287e514-326e-48c2-93de-cf6398127db3.xml,,
11695-7033-2,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,Covetrus North America,PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200757,https://www.accessdata.fda.gov/spl/data/b287e514-326e-48c2-93de-cf6398127db3/b287e514-326e-48c2-93de-cf6398127db3.xml,,
13985-582-25,Acepromazine Maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,MWI/VetOne,PRESCRIPTION ANIMAL DRUG,NADA,NADA117532,https://www.accessdata.fda.gov/spl/data/af575a8e-788f-43d6-ba60-7393b059696a/af575a8e-788f-43d6-ba60-7393b059696a.xml,,
11695-0094-5,Acepromazine maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,Covetrus North America,PRESCRIPTION ANIMAL DRUG,NADA,NADA117532,https://www.accessdata.fda.gov/spl/data/2368f59a-bae2-4afa-a2a4-237357ce1820/2368f59a-bae2-4afa-a2a4-237357ce1820.xml,,
13985-582-50,Acepromazine Maleate,ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,MWI/VetOne,PRESCRIPTION ANIMAL DRUG,NADA,NADA117532,https://www.accessdata.fda.gov/spl/data/af575a8e-788f-43d6-ba60-7393b059696a/af575a8e-788f-43d6-ba60-7393b059696a.xml,,
21091-691-01,Acetylsalicylic Acid,ASPIRIN,ASPIRIN,Sergeant's Pet Care Products LLC,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/f32e8caf-7114-4afb-a282-9eff0cefdc98/f32e8caf-7114-4afb-a282-9eff0cefdc98.xml,,
21091-690-01,Acetylsalicylic Acid,ASPIRIN,ASPIRIN,Sergeant's Pet Care Products LLC,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/1a5e42e6-a76f-4b9d-9540-e357ce9db1e4/1a5e42e6-a76f-4b9d-9540-e357ce9db1e4.xml,,
51044-301-25,Acidified Cupric Sulfate,ACIDIFIED CUPRIC SULFATE,CUPRIC SULFATE; CITRIC ACID MONOHYDRATE,Fondel Chemicals Ltd.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/2253fb4a-1cbd-4dd9-a10f-ec48e22b409a/2253fb4a-1cbd-4dd9-a10f-ec48e22b409a.xml,,
46066-313-11,Activated Charcoal Gel,ACTIVATED CHARCOAL,ACTIVATED CHARCOAL,"Aspen Veterinary Resources, Ltd.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/f857c57a-2173-4f47-87ac-2f4a2fa115c1/f857c57a-2173-4f47-87ac-2f4a2fa115c1.xml,,
46066-313-19,Activated Charcoal Gel,ACTIVATED CHARCOAL,ACTIVATED CHARCOAL,"Aspen Veterinary Resources, Ltd.",OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/f857c57a-2173-4f47-87ac-2f4a2fa115c1/f857c57a-2173-4f47-87ac-2f4a2fa115c1.xml,,
51546-002-20,Active Teat Cream,IODINE,IODINE,Farmers Industries (New Zealand) Limited,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/4d4b74fc-fda8-425c-8932-aee0f67e9df9/4d4b74fc-fda8-425c-8932-aee0f67e9df9.xml,,
51546-002-05,Active Teat Cream,IODINE,IODINE,Farmers Industries (New Zealand) Limited,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/4d4b74fc-fda8-425c-8932-aee0f67e9df9/4d4b74fc-fda8-425c-8932-aee0f67e9df9.xml,,
48106-1137-6,ActiveOxy 110,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/8debe659-886b-4eca-a908-535d3b41f5c4/8debe659-886b-4eca-a908-535d3b41f5c4.xml,,
48106-1137-1,ActiveOxy 110,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/8debe659-886b-4eca-a908-535d3b41f5c4/8debe659-886b-4eca-a908-535d3b41f5c4.xml,,
48106-1137-4,ActiveOxy 110,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/8debe659-886b-4eca-a908-535d3b41f5c4/8debe659-886b-4eca-a908-535d3b41f5c4.xml,,
48106-1137-2,ActiveOxy 110,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/8debe659-886b-4eca-a908-535d3b41f5c4/8debe659-886b-4eca-a908-535d3b41f5c4.xml,,
48106-1137-3,ActiveOxy 110,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/8debe659-886b-4eca-a908-535d3b41f5c4/8debe659-886b-4eca-a908-535d3b41f5c4.xml,,
48106-1137-5,ActiveOxy 110,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/8debe659-886b-4eca-a908-535d3b41f5c4/8debe659-886b-4eca-a908-535d3b41f5c4.xml,,
48106-1136-6,ActiveOxy 55,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/6a625354-d05d-4090-b0cd-581174c8820e/6a625354-d05d-4090-b0cd-581174c8820e.xml,,
48106-1136-3,ActiveOxy 55,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/6a625354-d05d-4090-b0cd-581174c8820e/6a625354-d05d-4090-b0cd-581174c8820e.xml,,
48106-1136-4,ActiveOxy 55,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/6a625354-d05d-4090-b0cd-581174c8820e/6a625354-d05d-4090-b0cd-581174c8820e.xml,,
48106-1136-5,ActiveOxy 55,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/6a625354-d05d-4090-b0cd-581174c8820e/6a625354-d05d-4090-b0cd-581174c8820e.xml,,
48106-1136-1,ActiveOxy 55,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/6a625354-d05d-4090-b0cd-581174c8820e/6a625354-d05d-4090-b0cd-581174c8820e.xml,,
48106-1136-2,ActiveOxy 55,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/6a625354-d05d-4090-b0cd-581174c8820e/6a625354-d05d-4090-b0cd-581174c8820e.xml,,
54771-8728-1,Actogain,RACTOPAMINE HYDROCHLORIDE,RACTOPAMINE HYDROCHLORIDE,Zoetis Inc.,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,ANADA,ANADA200548,https://www.accessdata.fda.gov/spl/data/224dce61-1256-4e72-84de-12fb433d3bc5/224dce61-1256-4e72-84de-12fb433d3bc5.xml,,
10797-975-01,Adequan Canine,POLYSULFATED GLYCOSAMINOGLYCAN,POLYSULFATED GLYCOSAMINOGLYCAN,"American Regent, Inc.",PRESCRIPTION ANIMAL DRUG,NADA,NADA141038,https://www.accessdata.fda.gov/spl/data/7322505e-fd8e-4d19-bb9e-93bfcf235ac7/7322505e-fd8e-4d19-bb9e-93bfcf235ac7.xml,,
10797-975-02,Adequan Canine,POLYSULFATED GLYCOSAMINOGLYCAN,POLYSULFATED GLYCOSAMINOGLYCAN,"American Regent, Inc.",PRESCRIPTION ANIMAL DRUG,NADA,NADA141038,https://www.accessdata.fda.gov/spl/data/7322505e-fd8e-4d19-bb9e-93bfcf235ac7/7322505e-fd8e-4d19-bb9e-93bfcf235ac7.xml,,
10797-995-70,Adequan i.m.,POLYSULFATED GLYCOSAMINOGLYCAN,POLYSULFATED GLYCOSAMINOGLYCAN,"American Regent, Inc.",PRESCRIPTION ANIMAL DRUG,NADA,NADA140901,https://www.accessdata.fda.gov/spl/data/02fef3ef-1fda-4ef4-aab4-a61d5c832af2/02fef3ef-1fda-4ef4-aab4-a61d5c832af2.xml,,
10797-959-01,Adequan i.m.,POLYSULFATED GLYCOSAMINOGLYCAN,POLYSULFATED GLYCOSAMINOGLYCAN,"American Regent, Inc.",PRESCRIPTION ANIMAL DRUG,NADA,NADA140901,https://www.accessdata.fda.gov/spl/data/2d87dc1b-6865-4e99-98b7-47111922fb4b/2d87dc1b-6865-4e99-98b7-47111922fb4b.xml,,
10797-995-01,Adequan i.m.,POLYSULFATED GLYCOSAMINOGLYCAN,POLYSULFATED GLYCOSAMINOGLYCAN,"American Regent, Inc.",PRESCRIPTION ANIMAL DRUG,NADA,NADA140901,https://www.accessdata.fda.gov/spl/data/02fef3ef-1fda-4ef4-aab4-a61d5c832af2/02fef3ef-1fda-4ef4-aab4-a61d5c832af2.xml,,
58198-0053-3,ADVANTAGE MULTI FOR CATS,"IMIDACLOPRID, MOXIDECTIN",IMIDACLOPRID; MOXIDECTIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141254,https://www.accessdata.fda.gov/spl/data/f4862dee-19de-4fd3-b7d7-3fd9f2b63004/f4862dee-19de-4fd3-b7d7-3fd9f2b63004.xml,,
58198-0054-3,ADVANTAGE MULTI FOR CATS,"IMIDACLOPRID, MOXIDECTIN",IMIDACLOPRID; MOXIDECTIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141254,https://www.accessdata.fda.gov/spl/data/f4862dee-19de-4fd3-b7d7-3fd9f2b63004/f4862dee-19de-4fd3-b7d7-3fd9f2b63004.xml,,
58198-0055-1,ADVANTAGE MULTI FOR CATS,"IMIDACLOPRID, MOXIDECTIN",MOXIDECTIN; IMIDACLOPRID,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141254,https://www.accessdata.fda.gov/spl/data/f4862dee-19de-4fd3-b7d7-3fd9f2b63004/f4862dee-19de-4fd3-b7d7-3fd9f2b63004.xml,,
58198-0054-1,ADVANTAGE MULTI FOR CATS,"IMIDACLOPRID, MOXIDECTIN",IMIDACLOPRID; MOXIDECTIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141254,https://www.accessdata.fda.gov/spl/data/f4862dee-19de-4fd3-b7d7-3fd9f2b63004/f4862dee-19de-4fd3-b7d7-3fd9f2b63004.xml,,
58198-0055-3,ADVANTAGE MULTI FOR CATS,"IMIDACLOPRID, MOXIDECTIN",MOXIDECTIN; IMIDACLOPRID,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141254,https://www.accessdata.fda.gov/spl/data/f4862dee-19de-4fd3-b7d7-3fd9f2b63004/f4862dee-19de-4fd3-b7d7-3fd9f2b63004.xml,,
58198-0053-1,ADVANTAGE MULTI FOR CATS,"IMIDACLOPRID, MOXIDECTIN",IMIDACLOPRID; MOXIDECTIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141254,https://www.accessdata.fda.gov/spl/data/f4862dee-19de-4fd3-b7d7-3fd9f2b63004/f4862dee-19de-4fd3-b7d7-3fd9f2b63004.xml,,
58198-0051-3,ADVANTAGE MULTI FOR DOGS,"IMIDACLOPRID, MOXIDECTIN",IMIDACLOPRID; MOXIDECTIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141251,https://www.accessdata.fda.gov/spl/data/e77e60b6-3b29-43d3-9d6a-25d4873a3428/e77e60b6-3b29-43d3-9d6a-25d4873a3428.xml,,
58198-0049-1,ADVANTAGE MULTI FOR DOGS,"IMIDACLOPRID, MOXIDECTIN",IMIDACLOPRID; MOXIDECTIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141251,https://www.accessdata.fda.gov/spl/data/e77e60b6-3b29-43d3-9d6a-25d4873a3428/e77e60b6-3b29-43d3-9d6a-25d4873a3428.xml,,
58198-0048-1,ADVANTAGE MULTI FOR DOGS,"IMIDACLOPRID, MOXIDECTIN",IMIDACLOPRID; MOXIDECTIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141251,https://www.accessdata.fda.gov/spl/data/e77e60b6-3b29-43d3-9d6a-25d4873a3428/e77e60b6-3b29-43d3-9d6a-25d4873a3428.xml,,
58198-0050-1,ADVANTAGE MULTI FOR DOGS,"IMIDACLOPRID, MOXIDECTIN",MOXIDECTIN; IMIDACLOPRID,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141251,https://www.accessdata.fda.gov/spl/data/e77e60b6-3b29-43d3-9d6a-25d4873a3428/e77e60b6-3b29-43d3-9d6a-25d4873a3428.xml,,
58198-0048-3,ADVANTAGE MULTI FOR DOGS,"IMIDACLOPRID, MOXIDECTIN",IMIDACLOPRID; MOXIDECTIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141251,https://www.accessdata.fda.gov/spl/data/e77e60b6-3b29-43d3-9d6a-25d4873a3428/e77e60b6-3b29-43d3-9d6a-25d4873a3428.xml,,
58198-0052-2,ADVANTAGE MULTI FOR DOGS,"IMIDACLOPRID, MOXIDECTIN",IMIDACLOPRID; MOXIDECTIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141251,https://www.accessdata.fda.gov/spl/data/e77e60b6-3b29-43d3-9d6a-25d4873a3428/e77e60b6-3b29-43d3-9d6a-25d4873a3428.xml,,
58198-0052-1,ADVANTAGE MULTI FOR DOGS,"IMIDACLOPRID, MOXIDECTIN",IMIDACLOPRID; MOXIDECTIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141251,https://www.accessdata.fda.gov/spl/data/e77e60b6-3b29-43d3-9d6a-25d4873a3428/e77e60b6-3b29-43d3-9d6a-25d4873a3428.xml,,
58198-0051-1,ADVANTAGE MULTI FOR DOGS,"IMIDACLOPRID, MOXIDECTIN",IMIDACLOPRID; MOXIDECTIN,Elanco US Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141251,https://www.accessdata.fda.gov/spl/data/e77e60b6-3b29-43d3-9d6a-25d4873a3428/e77e60b6-3b29-43d3-9d6a-25d4873a3428.xml,,
